epoch,loss,timestamp
1,0.112971,2025-12-12 14:00:57
2,0.030591,2025-12-12 14:00:57
3,0.024307,2025-12-12 14:00:57
4,0.020878,2025-12-12 14:00:57
5,0.018333,2025-12-12 14:00:57
6,0.015691,2025-12-12 14:00:57
7,0.014171,2025-12-12 14:00:57
8,0.012312,2025-12-12 14:00:57
9,0.011129,2025-12-12 14:00:57
10,0.009849,2025-12-12 14:00:57
11,0.008974,2025-12-12 14:00:57
12,0.008435,2025-12-12 14:00:57
13,0.008012,2025-12-12 14:00:57
14,0.007343,2025-12-12 14:00:57
15,0.007138,2025-12-12 14:00:57
16,0.006848,2025-12-12 14:00:57
17,0.006632,2025-12-12 14:00:57
18,0.006371,2025-12-12 14:00:57
19,0.006226,2025-12-12 14:00:57
20,0.006135,2025-12-12 14:00:57
